YOLO,You only live once
:-), This "Millenial" is displaying considerable amounts of blissful amusement. 
: - ), This "Millenial" is displaying considerable amounts of blissful amusement.
:), Happy
:(,sad
:-(, Oh OH! you must have asked your teenager to do the dishes. They are not displaying considerable amounts of blissful amusement.
WTF, What's that frequency?
OMG, oh my god
;-), Wink
:-P, tongue is being stuck out
., (For teenage boys) If a girl ends a sentence with a period, you're life is in danger.
Fortnite Dance, adopt the child immediately
wdym, What do you mean?
ttyl, Talk too you later!
